Carbon Dioxide Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,,
Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2009-19,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,68.1,72.5,80.7,86.0,98.6,105.0,110.1,114.6,125.8,126.0,137.0,148.2,156.4,169.5,174.4,174.6,174.4,172.4,174.2,171.8,172.5,178.0,186.2,188.1,189.4,178.2,143.3,125.1,122.2,117.9,127.6,126.2,115.1,101.7,86.3,88.9,90.9,94.1,98.2,99.6,95.6,101.3,97.8,95.6,80.6,78.2,85.1,81.7,69.9,71.2,72.0,69.6,73.0,73.4,71.6,66.3,-7.676%,-1.2%,0.2%,,,
Slovakia,31.1,32.1,32.2,35.1,37.0,39.7,42.5,44.3,45.7,46.8,49.0,50.5,52.8,55.5,56.5,56.8,55.9,55.0,54.8,58.8,58.5,55.7,56.8,57.4,53.4,54.8,48.5,46.0,43.2,40.1,40.8,40.9,39.5,39.1,38.3,36.3,39.1,38.6,39.1,38.0,39.0,37.4,35.2,36.4,33.6,36.1,33.9,32.4,32.5,30.0,30.3,30.7,32.8,32.3,29.7,26.4,-11.358%,-1.2%,0.1%,,,
Slovenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.3,12.5,12.3,13.0,13.1,13.9,14.7,15.2,14.7,14.3,14.0,14.7,14.9,14.8,15.0,15.2,15.6,15.7,16.8,15.0,15.2,15.2,14.7,14.1,12.6,12.7,13.6,13.9,13.9,13.3,11.6,-12.944%,-1.2%,?,,,
Spain,80.4,84.7,95.5,99.1,108.6,121.1,126.8,135.5,155.4,162.0,168.4,185.2,179.2,174.1,186.6,208.2,211.9,208.6,211.4,201.9,194.4,196.9,203.4,196.5,217.2,214.6,220.4,241.0,226.0,234.1,247.9,244.2,263.6,274.3,298.8,309.3,314.0,332.3,340.1,362.1,374.9,369.4,380.5,354.8,316.3,300.1,308.5,306.3,274.8,272.2,288.0,280.7,298.4,291.3,271.0,220.4,-18.905%,-1.5%,0.7%,,,
Sweden,68.8,76.1,75.2,83.8,88.8,96.9,89.8,91.4,93.1,86.0,85.4,92.9,89.2,104.7,114.4,100.3,89.6,83.4,73.6,71.4,79.2,84.5,73.7,69.1,66.4,67.4,59.7,61.5,61.0,64.2,61.5,66.8,61.3,68.4,65.3,57.7,59.2,59.8,64.2,61.9,60.7,62.2,58.9,56.3,53.4,56.9,52.0,49.1,48.2,46.1,46.4,46.6,45.7,44.7,47.2,45.4,-4.004%,-1.2%,0.1%,,,
Switzerland,29.2,29.7,31.3,34.3,36.9,40.4,42.1,42.9,46.2,41.3,39.9,41.6,42.1,42.6,41.0,41.6,39.4,37.2,40.8,40.1,41.3,44.3,41.9,41.7,40.4,43.3,44.2,44.6,42.2,43.4,40.9,42.5,44.2,44.7,44.2,43.1,46.2,43.9,43.2,43.3,44.2,45.0,41.0,43.8,44.2,42.1,40.1,41.4,43.6,38.7,39.5,38.0,38.8,37.2,38.2,32.4,-15.288%,-1.5%,0.1%,,,
Turkey,25.1,29.0,29.1,32.3,35.2,39.3,43.9,48.9,54.2,56.5,60.7,66.8,73.1,77.1,71.7,74.7,74.2,81.4,87.1,91.4,100.4,109.0,118.5,115.9,129.1,136.2,139.6,143.7,148.3,147.0,161.1,175.2,185.0,186.9,187.6,205.7,186.1,196.9,208.9,216.4,224.8,248.0,272.8,276.3,275.3,276.3,298.8,314.4,303.3,335.2,340.7,359.1,397.2,390.9,385.5,369.5,-4.395%,3.4%,1.1%,,,
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,694.4,701.8,709.9,686.2,652.9,761.9,708.1,603.6,519.9,431.7,423.1,366.5,352.7,341.0,335.0,335.9,329.3,329.3,336.6,317.5,315.5,324.4,327.5,317.2,272.4,287.9,302.5,299.1,286.1,247.3,195.4,215.8,188.4,199.0,185.6,177.4,-4.687%,-3.8%,0.5%,,,
United Kingdom,688.1,680.9,670.1,689.7,707.6,724.5,697.4,690.5,728.7,675.2,642.0,652.0,660.5,646.3,678.2,615.0,593.1,575.2,569.9,545.3,577.8,595.0,598.5,598.7,589.0,600.3,610.2,593.5,579.4,567.6,563.3,584.2,563.9,564.7,555.4,569.8,580.8,561.1,570.8,576.6,582.4,584.7,571.5,561.8,514.1,530.0,495.2,512.5,500.8,458.8,440.5,416.4,404.0,397.8,380.2,319.4,-16.221%,-3.0%,1.0%,,,
Other Europe,50.4,51.8,50.5,54.9,56.1,62.2,73.3,74.0,78.4,83.9,86.4,91.5,95.8,104.4,113.3,107.8,114.5,118.5,127.6,134.6,169.8,175.8,171.7,177.7,172.6,131.7,109.7,96.4,83.7,65.5,69.0,72.5,82.5,85.3,73.3,84.1,88.9,94.5,101.3,107.1,103.9,108.3,109.7,110.7,111.2,112.9,120.9,112.8,113.1,102.4,111.7,116.8,120.4,119.5,130.1,113.9,-12.730%,1.6%,0.4%,,,
Total Europe,3427.8,3474.9,3543.9,3757.7,4008.3,4226.1,4293.2,4439.0,4667.7,4544.4,4453.8,4732.9,4730.9,4770.4,4929.2,4810.6,4609.0,4508.9,4475.2,4496.8,5403.5,5459.0,5515.4,5464.2,5453.2,5466.3,5332.4,5078.8,4913.6,4749.1,4811.0,4894.5,4830.0,4842.9,4763.9,4794.7,4846.3,4842.5,4972.8,4991.0,4989.0,5062.7,5017.8,4932.6,4569.3,4677.5,4600.4,4541.3,4434.7,4204.1,4212.4,4260.8,4300.5,4251.0,4091.3,3596.8,-12.3%,-1.1%,11.1%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.4,54.2,52.2,52.1,52.8,79.7,75.6,65.7,58.6,53.1,50.2,43.5,42.0,41.9,41.2,42.0,39.7,39.3,34.4,37.3,41.0,37.6,34.9,34.5,28.9,27.4,30.7,30.8,31.1,31.7,34.1,33.6,32.4,34.0,35.9,34.1,-5.325%,2.2%,0.1%,,,
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,89.6,102.3,102.7,103.4,99.3,94.1,94.6,87.9,74.1,61.9,53.8,55.2,55.9,54.5,52.2,51.0,48.7,48.9,47.7,54.7,55.7,57.9,56.7,59.4,57.1,60.2,57.0,58.5,58.2,57.3,53.1,53.5,54.5,59.3,58.6,54.6,-6.974%,0.3%,0.2%,,,
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,231.2,236.4,241.0,248.6,242.1,242.6,240.2,237.1,209.1,193.6,170.2,148.3,130.9,124.9,116.3,103.9,119.9,121.1,132.6,144.4,150.0,162.5,177.2,191.5,173.0,183.9,208.5,218.4,220.8,223.8,222.2,216.9,232.2,255.3,246.3,241.0,-2.425%,3.6%,0.7%,,,
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2172.4,2210.8,2268.3,2291.8,2290.1,2233.9,2167.9,2072.6,1895.2,1726.3,1616.4,1562.9,1463.7,1445.3,1445.8,1452.8,1466.1,1475.6,1505.5,1517.4,1495.4,1565.1,1560.8,1593.1,1483.4,1526.6,1591.1,1605.0,1581.1,1579.2,1549.5,1567.0,1548.6,1606.0,1595.7,1482.2,-7.367%,0.7%,4.6%,,,
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.2,39.2,39.0,39.2,40.3,34.7,35.9,34.1,26.7,28.4,23.6,33.8,26.3,32.7,31.6,26.9,33.1,28.7,38.9,38.5,39.1,39.6,38.7,34.4,51.3,55.1,60.9,66.6,62.8,64.5,75.2,74.5,73.5,80.6,87.2,86.2,-1.361%,5.4%,0.3%,,,
USSR,1919.0,2027.5,2120.8,2172.8,2253.5,2337.3,2431.8,2550.5,2660.5,2762.5,2926.5,3024.3,3135.4,3229.1,3288.0,3306.0,3339.1,3404.3,3444.3,3506.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,101.4,100.5,100.3,107.0,109.4,106.4,104.9,99.4,107.6,100.4,97.3,100.1,98.3,105.6,119.4,121.8,122.0,125.1,113.8,113.9,113.1,106.0,112.3,107.7,106.1,104.6,109.6,109.7,113.9,116.7,110.7,105.8,105.0,111.3,110.7,108.2,-2.453%,0.4%,0.3%,,,
Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,82.7,81.5,82.4,84.5,83.7,83.9,67.0,52.0,35.7,25.2,20.9,21.7,21.2,21.3,17.4,16.0,16.0,16.3,16.4,18.3,19.5,20.3,22.8,24.4,23.6,23.1,24.6,26.6,25.5,27.4,28.6,29.2,29.4,33.2,31.3,33.1,5.392%,2.9%,0.1%,,,
Total CIS,1919.0,2027.5,2120.8,2172.8,2253.5,2337.3,2431.8,2550.5,2660.5,2762.5,2926.5,3024.3,3135.4,3229.1,3288.0,3306.0,3339.1,3404.3,3444.3,3506.2,2796.7,2866.2,2926.1,2966.0,2956.0,2875.4,2786.2,2648.8,2407.0,2188.8,2032.4,1965.4,1838.2,1826.2,1823.9,1814.4,1845.5,1854.9,1889.4,1924.7,1913.7,1988.9,2003.5,2045.1,1923.4,1980.9,2082.3,2115.7,2093.5,2100.5,2073.4,2080.4,2075.6,2179.7,2165.6,2039.5,-6.1%,1.2%,6.3%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,21.2,23.4,26.1,29.0,32.1,37.7,40.9,46.1,56.5,63.3,120.8,139.9,148.0,144.0,133.1,113.7,113.2,137.5,149.3,153.6,164.4,154.2,162.2,162.3,188.8,204.1,224.3,240.1,224.4,249.7,259.4,273.9,281.4,287.6,313.0,327.5,350.1,372.2,384.1,412.8,432.7,474.6,500.4,521.5,526.7,537.5,549.8,557.2,569.2,583.4,576.9,605.3,616.1,653.7,674.7,678.2,0.248%,2.5%,2.1%,,,
Iraq,5.1,5.7,5.8,6.2,7.2,9.2,10.0,12.1,11.7,11.4,29.5,37.5,33.9,31.9,40.6,41.5,29.4,30.8,33.5,37.4,45.3,50.9,53.9,59.9,66.9,60.5,36.4,56.6,78.1,89.9,87.5,91.1,109.9,80.1,63.6,83.0,92.0,87.3,86.8,93.3,89.7,88.8,91.7,93.9,106.7,113.7,123.0,134.6,146.4,143.7,148.1,167.4,165.6,170.9,181.5,170.0,-6.640%,5.5%,0.5%,,,
Israel,11.9,12.4,12.9,13.5,14.1,14.7,15.3,15.9,17.0,17.2,17.8,18.9,19.9,21.3,23.4,23.6,24.1,25.4,26.0,27.0,26.3,27.8,30.6,32.6,34.0,35.0,36.3,39.6,41.7,45.4,50.4,53.6,53.3,56.7,58.5,61.9,62.5,63.9,65.6,66.1,67.7,67.5,70.5,71.7,68.4,71.6,72.9,79.0,69.3,66.7,69.8,69.1,71.0,69.8,72.1,64.5,-10.797%,0.5%,0.2%,,,
Kuwait,16.6,17.4,17.7,18.5,19.0,15.4,15.4,17.0,16.9,16.2,23.5,25.6,24.2,27.7,30.4,22.1,26.8,26.5,29.6,31.3,30.2,34.0,31.7,35.4,37.9,25.1,42.3,20.7,23.8,27.9,34.8,34.4,35.5,42.7,44.7,47.6,48.4,52.9,64.3,72.0,79.3,75.2,72.9,77.9,77.2,87.8,89.4,92.4,97.7,99.5,100.1,100.5,101.7,101.7,101.5,91.6,-10.029%,2.8%,0.3%,,,
Oman,1.4,1.5,1.5,1.6,1.7,1.7,4.3,4.9,4.3,3.9,10.2,11.5,11.2,10.6,9.7,5.6,5.7,5.9,7.8,9.2,8.6,8.2,8.5,9.1,10.1,12.7,16.9,16.0,15.3,14.1,15.7,16.0,17.5,17.6,21.4,27.9,30.3,33.9,34.9,33.4,35.6,38.6,38.2,45.1,44.6,51.6,54.0,60.1,70.3,70.3,73.5,74.6,79.5,81.4,82.9,80.4,-3.215%,6.4%,0.2%,,,
Qatar,0.3,0.3,0.4,1.3,2.1,2.4,2.3,2.6,3.7,3.2,11.2,9.4,9.5,10.3,14.0,11.7,12.1,10.5,10.2,11.5,10.8,11.6,11.3,12.1,12.7,12.9,16.2,24.0,25.7,26.2,26.4,19.6,21.1,23.0,25.9,22.6,21.6,25.1,35.2,41.2,45.0,46.1,51.7,57.4,59.0,61.9,69.8,79.9,90.1,97.9,112.3,110.0,106.0,92.7,101.8,87.7,-14.156%,5.6%,0.3%,,,
Saudi Arabia,62.5,63.3,64.1,65.0,65.9,67.0,67.1,71.9,76.5,80.9,120.1,146.0,159.3,159.8,190.6,173.5,160.8,146.7,146.7,165.2,167.6,163.6,172.2,179.7,176.9,217.1,237.9,233.2,237.0,255.4,244.0,248.4,252.8,267.9,270.4,279.3,287.6,295.3,314.9,340.8,343.1,360.3,379.6,412.0,426.9,472.0,499.8,525.0,539.5,574.6,592.4,605.3,599.6,581.3,579.6,570.8,-1.783%,3.1%,1.8%,,,
United Arab Emirates,0.2,0.2,1.1,1.5,1.5,2.0,3.0,3.3,4.3,4.8,30.9,36.8,39.1,34.2,35.5,44.8,41.0,40.1,41.0,52.2,59.7,65.1,69.3,74.9,82.5,83.8,101.3,99.2,102.3,111.4,115.3,117.8,124.7,127.1,127.0,126.1,126.8,134.5,144.0,154.8,160.9,170.0,186.7,212.5,206.2,215.7,222.6,233.9,249.9,245.7,267.9,278.2,280.3,275.2,272.0,245.9,-9.827%,2.8%,0.8%,,,
Other Middle East,17.7,18.4,19.2,20.3,21.2,21.3,22.7,22.6,25.3,27.6,33.8,38.5,42.3,42.8,47.9,45.6,47.1,55.0,55.9,60.2,61.4,61.8,66.2,68.7,69.0,72.9,78.1,80.6,82.4,85.1,91.9,93.4,99.9,104.9,108.0,109.3,113.1,116.2,121.6,126.2,139.9,144.9,150.8,156.4,157.0,153.9,146.8,139.1,134.7,134.3,123.8,121.4,124.2,120.3,124.1,121.1,-2.675%,-2.3%,0.4%,,,
Total Middle East,137.0,142.6,148.9,157.0,164.8,171.5,181.1,196.3,216.1,228.5,397.9,464.3,487.5,482.6,525.3,482.0,460.3,478.3,500.1,547.6,574.4,577.2,605.9,634.6,678.8,724.0,789.5,809.9,830.8,905.2,925.5,948.1,996.1,1007.5,1032.7,1085.3,1132.3,1181.3,1251.4,1340.7,1394.1,1465.9,1542.5,1648.4,1672.7,1765.6,1828.1,1901.2,1967.1,2016.1,2064.8,2131.8,2143.9,2146.9,2190.2,2110.1,-3.9%,2.7%,6.5%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,5.6,6.9,6.4,6.8,7.6,8.3,8.9,10.0,11.6,13.0,30.6,38.8,42.5,48.6,51.8,57.6,59.6,63.7,67.6,68.2,72.6,79.8,77.4,78.2,77.2,74.3,74.1,75.6,75.4,76.3,79.1,79.1,75.5,78.1,77.7,76.0,73.4,76.1,78.8,81.0,82.9,87.3,94.4,100.4,106.5,104.4,107.7,115.8,133.3,142.1,148.4,147.2,149.4,156.7,160.9,148.6,-7.917%,4.2%,0.5%,,,
Egypt,22.9,24.0,20.1,21.1,15.9,20.2,20.5,23.1,21.6,24.6,30.8,35.2,37.4,38.3,42.3,48.1,55.0,60.8,66.1,71.5,75.2,76.5,80.7,81.0,85.3,89.9,91.8,88.6,86.6,90.7,95.8,101.6,106.0,109.9,115.7,120.5,126.7,123.9,133.8,132.8,147.1,150.1,159.4,167.4,176.1,186.8,188.3,198.6,201.8,207.5,210.9,219.5,222.0,222.9,222.1,204.3,-8.228%,2.3%,0.6%,,,
Morocco,3.6,5.3,5.7,6.1,6.5,6.9,7.3,7.9,9.3,9.8,10.3,11.3,12.4,13.2,14.8,14.9,14.8,15.7,16.3,16.6,17.2,17.8,18.2,19.2,21.0,21.3,21.5,24.2,25.2,27.3,27.1,27.6,28.4,29.9,31.5,31.6,34.4,35.4,34.7,40.1,43.9,44.6,43.8,48.6,45.2,49.1,52.9,53.9,54.3,56.5,56.7,57.0,60.0,61.6,67.7,62.8,-7.572%,4.1%,0.2%,,,
South Africa,113.2,113.5,116.8,123.1,126.3,131.6,142.2,145.7,156.6,161.8,172.5,180.0,185.0,182.2,190.1,205.9,240.3,264.0,270.4,290.4,297.1,299.4,306.8,330.5,312.5,324.9,319.2,327.2,329.6,340.3,351.2,357.3,365.1,357.6,370.1,371.6,376.5,366.6,399.8,439.1,421.7,430.9,441.0,476.0,474.4,474.9,466.3,462.1,463.3,467.7,455.5,474.4,470.1,451.9,462.4,434.5,-6.291%,-0.3%,1.3%,,,
Eastern Africa,23.6,25.7,26.6,27.8,28.5,30.5,35.2,35.5,37.8,37.1,35.0,37.9,36.2,35.5,35.8,37.2,35.6,34.4,35.1,34.8,36.0,39.4,41.7,44.6,45.7,52.0,47.9,48.2,52.3,52.3,53.0,53.1,55.3,55.0,55.0,54.4,57.5,57.3,55.5,62.2,64.0,65.0,67.5,66.7,71.0,76.1,80.8,79.7,90.6,101.0,106.0,103.8,112.0,118.0,119.0,102.6,-13.963%,5.3%,0.3%,,,
Middle Africa,6.9,7.1,7.2,7.5,7.7,7.9,9.3,9.6,10.7,11.2,17.1,16.6,18.7,19.5,20.4,20.7,21.4,20.1,21.7,20.5,21.8,21.4,21.3,23.4,23.9,23.0,26.8,28.0,27.7,29.1,32.0,31.9,33.6,32.9,33.9,34.2,34.5,39.1,40.6,46.4,46.2,48.1,49.4,53.5,55.9,59.5,62.0,63.4,60.0,63.6,65.4,67.0,62.7,61.6,57.2,51.9,-9.509%,0.2%,0.2%,,,
Western Africa,13.4,14.3,13.6,12.8,14.1,15.5,21.1,22.5,24.6,25.0,63.5,75.6,76.9,78.2,99.2,93.4,76.8,76.7,74.5,71.5,75.5,73.1,72.0,79.9,89.2,94.9,101.2,110.0,109.7,111.4,111.3,117.0,109.4,109.7,105.6,105.2,109.7,120.7,118.7,129.1,132.6,125.4,132.0,130.5,117.9,127.4,132.9,133.6,126.9,126.1,141.3,147.8,159.3,175.2,178.6,166.6,-7.014%,4.2%,0.5%,,,
Other Northern Africa,4.5,4.9,5.2,6.0,6.6,7.8,7.1,8.9,12.0,13.1,21.1,26.0,29.0,33.1,35.4,37.5,35.5,37.0,39.6,40.0,42.1,43.5,43.5,44.8,46.6,48.6,48.4,46.3,47.2,52.0,54.3,56.2,57.7,59.8,58.4,61.9,63.1,63.1,63.9,68.1,73.3,75.4,72.7,77.1,81.0,83.9,60.2,79.0,85.0,85.4,76.2,75.4,77.5,79.6,82.1,69.2,-15.955%,0.1%,0.2%,,,
Other Southern Africa,0.7,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.2,1.4,1.5,1.8,2.0,2.2,2.4,2.5,2.7,2.7,2.6,2.7,3.1,3.4,3.4,3.8,4.1,6.3,6.2,6.9,7.0,7.4,7.6,7.3,7.8,8.5,8.8,8.9,9.1,9.0,9.0,9.1,9.6,9.5,9.9,10.3,10.8,9.5,10.9,12.3,12.5,13.7,13.9,14.1,15.0,15.4,14.5,13.5,-7.360%,2.9%,?,,,
Total Africa,194.3,202.6,202.6,212.0,214.1,229.7,252.7,264.4,285.3,297.0,382.5,423.1,440.0,451.0,492.3,517.8,541.7,575.1,593.9,616.1,640.5,654.1,665.1,705.4,705.4,735.1,737.3,755.0,760.5,786.8,811.5,831.1,838.9,841.2,856.7,864.5,884.8,891.1,934.8,1008.2,1021.2,1036.2,1070.2,1130.5,1138.8,1171.6,1162.0,1198.4,1227.8,1263.6,1274.4,1306.2,1327.9,1342.7,1364.5,1254.0,-8.4%,1.8%,3.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,118.8,125.1,132.4,139.7,144.3,155.3,161.2,168.2,178.6,189.0,191.9,198.4,208.4,215.1,223.1,224.3,227.8,226.8,218.0,226.8,232.8,237.7,245.6,257.1,270.3,274.9,274.8,278.7,283.3,293.3,307.7,318.1,327.9,337.4,352.9,355.0,357.2,363.8,370.2,383.2,383.0,398.6,405.8,415.2,405.6,396.5,400.7,393.1,391.3,396.4,405.4,403.2,400.7,396.6,401.0,372.3,-7.410%,-0.1%,1.2%,,,
Bangladesh,n/a,n/a,n/a,n/a,n/a,n/a,2.2,3.3,3.8,4.1,4.9,5.1,5.3,5.8,6.4,7.3,7.5,7.9,7.5,7.6,8.9,9.7,10.6,10.9,11.8,12.8,12.0,13.1,14.1,14.8,18.2,18.4,20.8,21.1,21.9,23.5,27.7,29.7,30.8,33.0,36.4,40.4,40.8,44.2,49.2,50.6,56.5,60.4,62.7,65.4,78.1,79.2,83.1,89.3,100.6,98.0,-2.863%,7.4%,0.3%,,,
China,488.5,530.3,475.9,476.7,582.5,748.5,881.7,945.4,987.0,1006.8,1131.3,1183.1,1293.5,1418.5,1458.5,1471.2,1448.5,1512.4,1607.7,1733.3,1833.5,1916.3,2061.5,2210.9,2309.7,2323.8,2455.9,2581.2,2787.3,2938.1,3028.8,3177.7,3166.8,3163.4,3294.4,3360.9,3523.1,3843.4,4532.1,5334.9,6098.2,6677.3,7239.8,7378.2,7713.9,8145.8,8827.2,9004.2,9247.4,9293.2,9279.7,9279.0,9466.4,9652.7,9810.5,9899.3,0.630%,2.4%,30.7%,,,
China Hong Kong SAR,7.1,7.7,9.1,9.8,11.5,12.3,13.0,14.7,15.3,15.6,14.7,17.4,18.8,19.6,20.0,20.5,21.8,24.7,27.0,28.1,29.6,31.2,34.8,40.2,42.8,41.3,43.0,50.1,55.1,48.4,52.2,49.7,49.0,50.8,50.2,53.4,70.0,67.2,71.3,78.5,75.8,79.9,85.6,79.2,86.5,88.3,92.0,88.7,91.5,89.7,90.5,92.7,98.9,99.5,94.7,68.2,-28.171%,0.9%,0.2%,,,
India,167.5,170.0,174.5,182.5,197.5,189.9,206.6,218.6,219.0,238.6,253.4,263.8,277.6,276.6,295.9,310.3,341.0,342.5,368.7,392.7,416.6,443.1,481.2,518.9,568.2,613.1,646.1,677.7,699.0,728.7,778.6,817.3,859.8,900.5,919.1,961.3,970.1,1011.8,1052.0,1114.2,1202.1,1253.8,1364.9,1463.8,1590.3,1652.1,1730.0,1844.5,1930.2,2083.8,2151.9,2243.2,2324.7,2449.4,2471.9,2302.3,-7.117%,4.5%,7.1%,,,
Indonesia,20.1,19.5,18.7,19.6,21.3,22.6,23.5,25.4,29.7,31.4,44.7,50.1,62.6,65.2,73.4,80.4,87.2,87.2,86.9,91.1,91.9,100.8,109.9,114.5,125.1,145.1,157.7,172.6,183.9,192.9,205.3,216.4,241.1,239.3,257.4,278.2,301.5,311.0,344.5,336.4,343.3,362.7,393.7,385.0,403.3,446.5,488.3,529.0,538.6,487.6,502.6,502.3,526.9,575.3,624.5,545.4,-12.907%,4.5%,1.7%,,,
Japan,446.9,492.8,578.2,641.6,731.5,810.5,845.3,880.9,995.0,985.7,923.6,951.2,960.7,924.3,949.7,920.7,914.7,863.6,864.0,952.6,930.5,919.8,927.6,999.3,1025.5,1087.0,1104.2,1116.4,1110.8,1175.0,1189.9,1211.3,1210.5,1179.2,1211.1,1233.2,1226.4,1237.2,1278.0,1262.0,1295.1,1272.6,1286.9,1297.1,1127.7,1197.9,1206.1,1292.1,1279.8,1246.5,1207.1,1190.0,1181.4,1158.4,1117.7,1027.0,-8.368%,-0.1%,3.2%,,,
Malaysia,7.0,8.2,8.3,8.4,8.7,9.6,10.8,12.2,13.3,13.4,17.7,20.2,21.1,26.0,32.9,34.8,35.2,37.0,42.2,44.8,42.5,43.3,43.5,46.4,53.3,60.6,72.3,77.3,79.0,87.2,89.1,100.6,116.6,107.6,121.1,133.6,135.8,146.8,162.3,173.6,183.9,189.7,193.0,201.0,193.8,215.3,216.2,229.3,239.5,249.4,253.7,258.3,247.4,255.0,263.0,256.0,-2.930%,3.1%,0.8%,,,
New Zealand,15.0,15.8,15.7,15.7,16.2,18.2,18.1,19.4,20.9,20.6,19.8,21.5,22.3,21.0,19.6,19.1,18.7,20.3,20.4,20.5,21.0,22.0,22.4,23.4,20.6,25.9,26.4,28.0,27.4,28.5,28.8,29.7,31.7,30.4,31.7,32.3,34.5,34.5,36.7,35.8,38.0,37.8,36.9,37.9,34.9,34.8,34.7,36.3,35.7,35.8,36.6,35.7,37.8,37.7,39.4,34.1,-13.601%,1.2%,0.1%,,,
Pakistan,19.5,19.3,21.1,23.8,23.2,22.7,20.9,17.6,18.6,20.0,21.1,21.2,22.7,23.8,25.8,27.8,29.6,31.9,34.2,36.5,39.0,42.5,47.4,50.9,55.3,57.8,61.4,65.8,72.5,76.1,80.7,84.7,85.9,88.3,94.1,97.8,98.9,101.2,106.6,117.9,120.2,130.2,142.0,146.3,146.0,145.7,144.1,145.7,146.7,153.3,160.9,176.6,190.4,198.3,197.4,196.0,-0.965%,3.1%,0.6%,,,
Philippines,13.2,14.4,16.2,18.4,19.7,22.4,26.0,25.5,29.6,27.8,30.0,31.0,34.0,35.3,36.3,34.7,33.0,31.9,33.8,29.2,27.5,27.7,32.0,35.1,37.8,39.9,39.4,47.5,48.8,51.2,58.0,62.5,68.5,69.2,67.4,66.8,67.9,66.5,68.4,70.7,70.8,67.9,72.2,74.4,74.9,80.5,81.3,83.8,92.1,97.7,106.7,116.8,129.1,134.0,140.9,127.4,-9.828%,6.5%,0.4%,,,
Singapore,13.1,15.0,18.0,22.4,22.0,23.9,20.7,25.9,24.2,23.9,23.5,27.9,28.0,28.5,30.4,30.1,34.7,33.7,35.7,36.7,37.1,43.3,44.7,52.1,59.8,69.6,71.2,76.3,83.1,95.7,98.6,98.4,102.4,101.2,100.0,107.1,117.5,111.8,103.7,116.2,127.3,140.3,151.4,163.4,176.7,185.3,192.7,192.0,191.7,191.1,202.8,217.1,229.0,225.4,217.2,211.0,-3.105%,2.1%,0.7%,,,
